Date,Value
2/1/1986,15.08
1/1/1986,14.28
12/1/1985,14.19
11/1/1985,13.33
10/1/1985,12.39
9/1/1985,12.09
8/1/1985,12.26
7/1/1985,12.43
6/1/1985,12.1
5/1/1985,11.65
4/1/1985,11.2
3/1/1985,10.95
2/1/1985,10.98
1/1/1985,10.36
12/1/1984,9.89
11/1/1984,10.01
10/1/1984,9.94
9/1/1984,10.03
8/1/1984,10
7/1/1984,9.26
6/1/1984,9.45
5/1/1984,9.86
4/1/1984,10.12
3/1/1984,10.31
2/1/1984,10.59
1/1/1984,11.52
12/1/1983,11.72
11/1/1983,11.98
10/1/1983,12.38
9/1/1983,12.57
8/1/1983,12.43
7/1/1983,13.02
6/1/1983,13.22
5/1/1983,13.09
4/1/1983,12.64
3/1/1983,12.23
2/1/1983,11.75
1/1/1983,11.48
12/1/1982,11.03
11/1/1982,10.67
10/1/1982,10.01
9/1/1982,9.03
8/1/1982,7.97
7/1/1982,7.83
6/1/1982,7.74
5/1/1982,8.09
4/1/1982,7.97
3/1/1982,7.48
2/1/1982,7.64
1/1/1982,7.73
12/1/1981,8.06
11/1/1981,8.02
10/1/1981,7.83
9/1/1981,7.75
8/1/1981,8.54
7/1/1981,8.55
6/1/1981,8.81
5/1/1981,8.86
4/1/1981,9.13
3/1/1981,9.14
2/1/1981,8.76
1/1/1981,9.02
12/1/1980,9.01
11/1/1980,9.19
10/1/1980,8.86
9/1/1980,8.64
8/1/1980,8.38
7/1/1980,8.07
6/1/1980,7.67
5/1/1980,7.15
4/1/1980,6.79
3/1/1980,6.85
2/1/1980,7.61
1/1/1980,7.39
12/1/1979,7.25
11/1/1979,7.01
10/1/1979,7.11
9/1/1979,7.42
8/1/1979,7.45
7/1/1979,7.23
6/1/1979,7.27
5/1/1979,7.25
4/1/1979,7.55
3/1/1979,7.53
2/1/1979,7.57
1/1/1979,7.88
12/1/1978,7.79
11/1/1978,7.84
10/1/1978,8.51
9/1/1978,8.98
8/1/1978,9.07
7/1/1978,8.57
6/1/1978,8.7
5/1/1978,8.75
4/1/1978,8.41
3/1/1978,8.13
2/1/1978,8.16
1/1/1978,8.28
12/1/1977,8.62
11/1/1977,8.71
10/1/1977,8.7
9/1/1977,8.99
8/1/1977,9.21
7/1/1977,9.53
6/1/1977,9.53
5/1/1977,9.58
4/1/1977,9.72
3/1/1977,9.98
2/1/1977,10.08
1/1/1977,10.41
12/1/1976,10.57
11/1/1976,10.34
10/1/1976,10.54
9/1/1976,11.05
8/1/1976,10.93
7/1/1976,11.14
6/1/1976,11.01
5/1/1976,11.18
4/1/1976,11.51
3/1/1976,11.67
2/1/1976,11.94
1/1/1976,11.82
12/1/1975,11.14
11/1/1975,11.41
10/1/1975,11.32
9/1/1975,10.91
8/1/1975,10.95
7/1/1975,11.72
6/1/1975,11.61
5/1/1975,11.09
4/1/1975,10.22
3/1/1975,9.91
2/1/1975,9.32
1/1/1975,8.3
12/1/1974,7.54
11/1/1974,8
10/1/1974,7.68
9/1/1974,7.48
8/1/1974,8.46
7/1/1974,8.95
6/1/1974,10.27
5/1/1974,10.41
4/1/1974,10.89
3/1/1974,11.66
2/1/1974,11.27
1/1/1974,11.68
12/1/1973,11.62
11/1/1973,12.74
10/1/1973,13.99
9/1/1973,13.73
8/1/1973,13.77
7/1/1973,14.33
6/1/1973,14.5
5/1/1973,15.13
4/1/1973,15.89
3/1/1973,16.53
2/1/1973,17.11
1/1/1973,18.09
12/1/1972,18.3
11/1/1972,18.19
10/1/1972,17.58
9/1/1972,17.82
8/1/1972,18.25
7/1/1972,17.79
6/1/1972,18.09
5/1/1972,18.2
4/1/1972,18.56
3/1/1972,18.54
2/1/1972,18.22
1/1/1972,18.01
12/1/1971,17.4
11/1/1971,16.54
10/1/1971,17.62
9/1/1971,18.31
8/1/1971,18.03
7/1/1971,18.48
6/1/1971,18.74
5/1/1971,19.22
4/1/1971,19.61
3/1/1971,19.08
2/1/1971,18.71
1/1/1971,18.12
12/1/1970,17.55
11/1/1970,16.19
10/1/1970,15.97
9/1/1970,15.41
8/1/1970,14.39
7/1/1970,13.85
6/1/1970,13.69
5/1/1970,13.69
4/1/1970,15.37
3/1/1970,15.75
2/1/1970,15.35
1/1/1970,15.76
12/1/1969,15.76
11/1/1969,16.54
10/1/1969,16.32
9/1/1969,16.05
8/1/1969,16.04
7/1/1969,16.17
6/1/1969,16.98
5/1/1969,17.93
4/1/1969,17.39
3/1/1969,17.06
2/1/1969,17.5
1/1/1969,17.65
12/1/1968,18.49
11/1/1968,18.41
10/1/1968,18.23
9/1/1968,17.9
8/1/1968,17.43
7/1/1968,17.91
6/1/1968,18.04
5/1/1968,17.71
4/1/1968,17.45
3/1/1968,16.38
2/1/1968,16.8
1/1/1968,17.71
12/1/1967,17.88
11/1/1967,17.42
10/1/1967,18.02
9/1/1967,18.08
8/1/1967,17.79
7/1/1967,17.48
6/1/1967,17.15
5/1/1967,17.24
4/1/1967,16.81
3/1/1967,16.41
2/1/1967,15.93
1/1/1967,15.31
12/1/1966,14.65
11/1/1966,14.63
10/1/1966,13.96
9/1/1966,14.12
8/1/1966,14.68
7/1/1966,15.67
6/1/1966,15.76
5/1/1966,16.01
4/1/1966,17.03
3/1/1966,16.64
2/1/1966,17.52
1/1/1966,17.81
12/1/1965,17.67
11/1/1965,18
10/1/1965,18.1
9/1/1965,17.95
8/1/1965,17.53
7/1/1965,17.38
6/1/1965,17.57
5/1/1965,18.65
4/1/1965,18.59
3/1/1965,18.55
2/1/1965,18.71
1/1/1965,18.75
12/1/1964,18.45
11/1/1964,18.89
10/1/1964,18.87
9/1/1964,18.66
8/1/1964,18.54
7/1/1964,19.01
6/1/1964,18.53
5/1/1964,18.86
4/1/1964,18.9
3/1/1964,18.85
2/1/1964,18.75
1/1/1964,18.77
12/1/1963,18.45
11/1/1963,18.16
10/1/1963,18.35
9/1/1963,18.4
8/1/1963,18.11
7/1/1963,17.8
6/1/1963,18.26
5/1/1963,18.47
4/1/1963,18.32
3/1/1963,17.7
2/1/1963,17.83
1/1/1963,17.66
12/1/1962,17.07
11/1/1962,16.57
10/1/1962,15.7
9/1/1962,16.43
8/1/1962,16.67
7/1/1962,16.32
6/1/1962,16.03
5/1/1962,18.33
4/1/1962,20
3/1/1962,20.86
2/1/1962,21.21
1/1/1962,21.25
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
